"","x"
"PEX14",0.410039675498322
"RP4-734G22.3",0.526141310734151
"CASZ1",0.835433250129633
"C1orf127",0.272313568440382
"TARDBP",0.768430169275874
"RP4-635E18.8",0.476427878352796
"MASP2",0.498194520211714
"SRM",0.369709743266308
"RP4-635E18.7",0.441939568655794
"EXOSC10",0.484668214971147
"ANGPTL7",0.756458230441187
"MTOR",0.285271633901358
"UBIAD1",0.232555363650641
"FBXO44",0.406143278690876
"FBXO2",0.407900377411695
"FBXO6",0.500115885463262
"MAD2L2",0.345376443454078
"AGTRAP",0.208474222325826
"MTHFR",0.642273006089384
"CLCN6",0.538087016983612
"NPPA-AS1",0.735996122900779
"NPPA",0.827312609861147
"NPPB",0.858685759659258
"KIAA2013",0.248877320705888
"PLOD1",0.648310780051383
"MFN2",0.256711311534198
"MIIP",0.606104093136204
"TNFRSF8",0.541537211620197
"TNFRSF1B",0.477433962491347
"VPS13D",0.287606294661568
"DHRS3",0.860759453222683
"RP11-474O21.5",0.890345580336063
"PDPN",0.869694754798315
"PRDM2",0.577269010518369
"KAZN",0.41434676494027
"TMEM51-AS1",0.769859779408503
"TMEM51",0.694558358066095
"EFHD2",0.198916659448475
"CTRC",0.963117078869547
"CELA2A",0.806179978449061
"CELA2B",0.866445975489338
"CASP9",0.42085338622713
"DNAJC16",0.340896019282967
"AGMAT",0.280829433856282
"CHCHD2P6",0.874936179020552
"DDI2",0.373410441042391
"PLEKHM2",0.243684909147463
"SLC25A34",0.505692784917139
"RP11-288I21.1",0.505610617370861
"FBLIM1",0.31404166033487
"UQCRHL",0.481924967330997
"RP11-169K16.8",1.02404965252187
"FLJ37453",0.373029928668494
"SPEN",0.189055827306991
"ZBTB17",0.165218370285446
"CLCNKA",0.825722068570992
"HSPB7",0.590757399560951
"FAM131C",0.79147360598435
"RP11-276H7.2",0.870157409502509
"EPHA2",0.589291553837562
"ARHGEF19",0.41197421092038
"ANO7L1",0.794459992160149
"RSG1",0.340065104481345
"MT1XP1",0.408349786731285
"FBXO42",0.367098990317197
"SZRD1",0.238848861445605
"NECAP2",0.290237232832926
"RP4-798A10.2",0.485261010079583
"CROCCP3",0.278863983629575
"NBPF1",0.365007234103658
"MST1P2",0.53420387151183
"CROCCP2",0.531002134707972
"EIF1AXP1",0.669470281351734
"MST1L",0.74582694007747
"RP11-108M9.5",0.789250564589566
"RP11-108M9.4",0.676275321966366
"CROCC",0.477651215338461
"MFAP2",0.49735790117787
"ATP13A2",0.278309531490115
"SDHB",0.143251347533498
"PADI2",0.526499617658191
"PADI4",0.743346746472775
"RCC2",0.306589793509991
"ARHGEF10L",0.407258096892336
"IGSF21",0.673438788941071
"ALDH4A1",0.245463898017295
"IFFO2",0.831490414618164
"RP5-1126H10.2",0.733161035728722
"UBR4",0.294729101087545
"EMC1",0.530239446001103
"MRTO4",0.194647510644547
"AKR7L",0.639175361348716
"AKR7A3",0.670175208858272
"RP4-657E11.10",0.512390623004465
"AKR7A2",0.238184910331896
"PQLC2",0.31056407310161
"CAPZB",0.384582621072559
"MINOS1",0.195776344420672
"RP5-1056L3.3",0.953771627239551
"NBL1",0.324785684310016
"TMCO4",0.617240801254808
"OTUD3",0.500613952953081
"PLA2G2A",0.426441764416191
"PLA2G5",0.758949664499604
"UBXN10",0.739748856270903
"CAMK2N1",0.425117201371814
"MUL1",0.305944970538397
"FAM43B",0.561327953021231
"CDA",0.703962333424695
"PINK1",0.268794875195593
"PINK1-AS",0.680798474386087
"DDOST",0.275321990352263
"KIF17",0.654747602720551
"HP1BP3",0.243715341890633
"EIF4G3",0.347150809492488
"RP5-1071N3.1",0.772156117213536
"ECE1",0.260701014426817
"HS6ST1P1",0.733013803751905
"NBPF3",0.819686589700884
"ALPL",0.642087268331096
"RAP1GAP",0.840712916616205
"USP48",0.459583336847883
"LDLRAD2",0.505651471406842
"HSPG2",0.666499284807028
