"","source_variances"
"PRDM16",0.6956569507075
"ARHGEF16",0.371532505376385
"MEGF6",0.397505065159629
"RP11-46F15.2",0.403887520118027
"TPRG1L",0.245206156930605
"TP73",0.790643776253762
"WRAP73",0.382075102626939
"TP73-AS1",0.255180223230548
"SMIM1",0.581953109439366
"RP1-286D6.5",0.573004592879949
"LRRC47",0.194149711832139
"CEP104",0.482229827295558
"DFFB",0.380808976564026
"C1orf174",0.768881445853536
"LINC01134",0.388319044599716
"AJAP1",0.750479611384211
"KCNAB2",0.361774705409571
"NPHP4",0.658412721810065
"CHD5",0.53276237343231
"RNF207",0.244584972521639
"RPL22",0.38213531101683
"ICMT",0.27384511063639
"GPR153",0.346463065137519
"ACOT7",0.49324496495055
"TNFRSF25",0.284050404202942
"PLEKHG5",0.347334949553871
"NOL9",0.38633722065617
"ZBTB48",0.250036923831069
"PHF13",0.496291752330886
"KLHL21",0.190400344117376
"THAP3",0.284078919594974
"DNAJC11",0.489883596854718
"CAMTA1",0.486045580599471
"VAMP3",0.426279229596792
"RP3-467L1.6",0.517664955666836
"PER3",0.709075053340993
"RP3-467L1.4",0.631268433961544
"PARK7",0.302136729802207
"ERRFI1",0.505998539874529
"RP11-431K24.1",0.72046956871962
"SLC45A1",0.463080578531976
"RP5-1115A15.1",0.772955457527312
"RERE",0.463514800482848
"ENO1",0.126394117406143
"ENO1-AS1",0.718326050376489
"SLC2A5",0.579820477337797
"GPR157",0.715914313681534
"RP3-510D11.2",0.617266146213208
"MIR34A",0.58930277866241
"H6PD",0.32022175916352
"SPSB1",0.17853456454137
"SLC25A33",0.449400440604607
"RP13-15M17.1",0.825156273053606
"TMEM201",0.597216708317218
"PIK3CD",0.375710225889403
"PIK3CD-AS2",0.633081027151416
"CLSTN1",0.341701340083592
"CTNNBIP1",0.176543579790103
"RP11-84A14.4",0.809328138591757
"LZIC",0.37394656670125
"NMNAT1",0.369227201549311
"RBP7",0.643899408818401
"UBE4B",0.205606093394547
"KIF1B",0.293659424823707
"PGD",0.430072156063442
"APITD1",0.404060672387449
"CORT",0.549152208682188
"DFFA",0.40248303090194
"PEX14",0.542960978885774
"RP4-734G22.3",0.384125798253578
"CASZ1",0.468127964784524
"C1orf127",0.526952323888661
"TARDBP",0.342743894966466
"RP4-635E18.8",0.28679576747804
"MASP2",0.370693212636503
"SRM",0.190897998202644
"RP4-635E18.7",0.347805747660149
"EXOSC10",0.572394758695063
"ANGPTL7",0.776860623630651
"MTOR",0.216672952650458
"UBIAD1",0.373010071848111
"FBXO44",0.181400440431797
"FBXO2",0.527700939848613
"FBXO6",0.307455138535813
"MAD2L2",0.14537442749407
"AGTRAP",0.361375254603956
"MTHFR",0.332351298835321
"CLCN6",0.415731274049344
"NPPA-AS1",0.7849955705326
"NPPA",0.939291130113609
"NPPB",0.810053318957932
"KIAA2013",0.201039430806046
"PLOD1",0.470075387418688
"MFN2",0.332216650689041
"MIIP",0.258154489833213
"TNFRSF8",0.637965024962332
"TNFRSF1B",0.221486361114141
"VPS13D",0.419782702145095
"DHRS3",0.465744433347271
"RP11-474O21.5",0.74417109065049
"PDPN",0.403315792802424
"PRDM2",0.480179861828769
"KAZN",0.543331345067235
"TMEM51-AS1",0.261506024204152
"TMEM51",0.474103046145549
"EFHD2",0.415292841646395
"CTRC",0.211317360054017
"CELA2A",0.235211485446964
"CELA2B",0.212747057932607
"CASP9",0.32233983617475
"DNAJC16",0.568269559117357
"AGMAT",0.676416102678557
"CHCHD2P6",0.798290146217168
"DDI2",0.348939235755606
"PLEKHM2",0.236567004956597
"SLC25A34",0.63886498519585
"RP11-288I21.1",0.48917433048396
"FBLIM1",0.545131904906972
"UQCRHL",0.642888305542275
"RP11-169K16.8",0.817422471540498
"FLJ37453",0.585759783292265
"SPEN",0.24862242213543
"ZBTB17",0.31881693848861
"CLCNKA",0.636931408076921
"HSPB7",0.679764141128611
"FAM131C",0.531179803085369
"RP11-276H7.2",0.694824596806056
"EPHA2",0.390646864268889
"ARHGEF19",0.406533624877526
"ANO7L1",0.503213617988089
"RSG1",0.509866739343505
"MT1XP1",0.737049118032069
"FBXO42",0.563650002997363
"SZRD1",0.28528147388811
"NECAP2",0.234046178250336
"RP4-798A10.2",0.47082365001024
"CROCCP3",0.183627894448292
"NBPF1",0.366343479191538
"MST1P2",0.49663868770737
"CROCCP2",0.612170484892064
"EIF1AXP1",0.786348992948116
"MST1L",0.649400636734878
"RP11-108M9.5",0.829193476906544
"RP11-108M9.4",0.775487137032246
"CROCC",0.421096789586119
