,gene_name,centrality,rank
6544,CHORDC1,1.0,1
7587,CIRBP,0.9936069041748042,2
3187,SLC5A3,0.9861650715198221,3
10035,JMJD6,0.9779650341673236,4
9704,AHSA1,0.9753571909715607,5
8112,HSPH1,0.9665132297209721,6
7691,DYNLL2,0.9651277940415534,7
8614,C19orf48,0.9492885225338097,8
7503,LYRM9,0.9488047613273781,9
5707,SPR,0.947827385359169,10
10893,TARBP1,0.945417265250842,11
6901,RP11.446H18.1,0.9447366395340238,12
607,MUC5B,0.9432871724467413,13
6034,MUM1L1,0.9418073067663185,14
8970,ZNF710,0.9416645659048835,15
864,RBM3,0.9395754612807472,16
8379,DNAJB4,0.9384899194461557,17
5531,RP11.617F23.1,0.9339201329899376,18
2000,AC006547.14,0.9309724313689253,19
2770,RP11.244H3.1,0.930316192931571,20
6782,TPPP3,0.929291631991582,21
1234,DKFZP667F0711,0.927871339178027,22
9900,PCYOX1L,0.9274098712041946,23
6373,TIFA,0.9268480072687316,24
9990,CPNE6,0.9241178490248974,25
7147,SIRT4,0.9236290783600677,26
9661,MYO5C,0.9229769875254963,27
5776,NA.92,0.9226314403231862,28
9521,HSP90AA1,0.9222878897946439,29
5632,TBC1D10C,0.9217201232447869,30
1637,RP11.386M24.3,0.9206730230731104,31
8595,PLCD3,0.9156917449742545,32
4783,SLC38A2,0.9156530992701982,33
8319,FGFR3,0.9127660742994833,34
4634,CYP4F11,0.9126246179183822,35
3214,SSC5D,0.9117793115567583,36
2366,ENTPD2,0.9110470574996206,37
8864,HMGN2,0.910852148188604,38
8577,FAM167A,0.9103543612935624,39
8359,MDGA1,0.9099670846648483,40
1619,C9orf106,0.9087835754990694,41
904,HSPA1A,0.9080740528871749,42
10541,GLRX,0.9079842656197259,43
5688,CCND1,0.9079822297447013,44
8691,LDB3,0.9079505967458246,45
8353,HMGB3,0.9066774706606541,46
2677,AC005943.5,0.9055239547034327,47
6025,CCNA2,0.905454901712558,48
7872,MYL5,0.9049914060228051,49
9997,NUDT18,0.9025806965028853,50
11063,NTN1,0.9024853958272875,51
3740,HSD17B8,0.9024578550001076,52
3363,PPDPF,0.9020333990607196,53
11064,RASL10B,0.9019100484444016,54
6111,GPD1,0.9017751771482735,55
10652,FADS2,0.9017025976772115,56
9456,CTD.2313N18.5,0.9009175191319778,57
276,RPE65,0.9004567672854368,58
10216,ZNF596,0.9003856290856418,59
5485,RP11.509J21.1,0.9001842548492361,60
1666,HTR3E,0.8992919952466515,61
952,RP11.553A10.1,0.8989483878576572,62
8628,FOSL2,0.8987912477390192,63
8882,EMILIN1,0.8981849690431725,64
10120,STIP1,0.8973953624803523,65
10838,COL6A6,0.8971706132915991,66
8215,RGCC,0.8956421455793688,67
6567,LAMC3,0.8948522949582216,68
4467,PLK4,0.8946859391587901,69
10010,BAG2,0.8946524291130168,70
1247,ADORA2A.AS1,0.8945586238870846,71
