,gene_name,centrality,rank
10593,CEP170B,1.0,1
10087,DLGAP3,0.9983675141295797,2
11046,KCNQ2,0.9927265941625771,3
11035,PALM,0.9866492214411374,4
10974,RLTPR,0.984342946578026,5
864,RBM3,0.9831131951883241,6
10599,LMTK3,0.980809282151439,7
8531,MLLT1,0.9701826509595176,8
10606,SHANK3,0.9698279051963755,9
10885,RFC3,0.969601646164045,10
7100,C19orf26,0.9691263495091745,11
10735,RP11.705C15.3,0.9687286656616823,12
8709,REXO1,0.9634225958393683,13
5538,KLHL34,0.9618238990737406,14
10706,PIP5K1C,0.9590930938740831,15
6830,SHANK1,0.9578610776585053,16
8862,GPR153,0.9570181336655339,17
8661,MMP17,0.9565541205874377,18
11040,CASKIN1,0.9552172866629552,19
10106,RP11.390N6.1,0.9537771920442761,20
952,RP11.553A10.1,0.9534542142510108,21
10056,KCNN1,0.9519192383171325,22
10712,RP4.555D20.2,0.9515067056531875,23
5840,STAB1,0.9497413120059224,24
10549,IQSEC3,0.9494610175797573,25
7587,CIRBP,0.9485410176277396,26
9168,NEUROD2,0.947703147708088,27
7692,BLNK,0.9471855592373108,28
2525,RP11.890B15.2,0.9453564132171278,29
171,MUC5AC,0.9448647459458097,30
4103,OR7E13P,0.9423223865313901,31
8897,PRR12,0.9420991696811332,32
11053,SCAF1,0.9414743706180039,33
11064,RASL10B,0.9405121338327826,34
8196,SLC39A12,0.9400848118293835,35
6379,CDK5R2,0.9386422327695276,36
4470,RP5.837I24.5,0.9365584662487049,37
10743,FLI1,0.9358195288174118,38
10732,BAI1,0.9356403691026512,39
6617,ZNF469,0.9352999291098025,40
898,HSD3BP2,0.9351944086138418,41
6537,NA.209,0.9349086215528503,42
6414,GAL3ST4,0.9349062035452961,43
8013,CCT6B,0.9337643660716105,44
10609,GLDN,0.9334524240789926,45
10062,CTD.2292M16.8,0.9329345341359475,46
6819,RP11.95O2.1,0.932591922975281,47
8364,KLRG1,0.9325651394546982,48
10650,AHDC1,0.9322324550515184,49
1562,CDNF,0.9314975001427309,50
5955,MIDN,0.9313292965525383,51
10657,RP5.1180C10.2,0.9310587787831007,52
2770,RP11.244H3.1,0.9298118606191196,53
6956,AC009120.3,0.9297962275126915,54
10490,GLIPR1L1,0.929046692710863,55
1744,CTD.2031P19.3,0.9288781471278498,56
9815,GLTPD2,0.9288650444367027,57
7118,CTD.2555A7.2,0.9285167676185286,58
10773,RAI1,0.9284827477754077,59
9918,AGAP2,0.9280829248682239,60
7367,FLJ00104,0.9279840203270492,61
4366,TSHR,0.9258446260096471,62
7381,CENPH,0.9258296634556122,63
10224,ZNF219,0.9250424343915827,64
7494,TLR7,0.9249089595796263,65
8459,ANLN,0.9247622481350612,66
10570,TTLL11.IT1,0.9247467302913469,67
8517,NPAS1,0.9235576613362959,68
10829,LACC1,0.9235034606724318,69
6369,RP1.95L4.4,0.9223607687100913,70
2628,RP11.96K19.4,0.9220416500578816,71
5485,RP11.509J21.1,0.9218881807482887,72
10402,IFNK,0.9216861274522564,73
2247,SLFN13,0.9210206000018535,74
4502,AC012318.3,0.9207697407807487,75
8908,AC079354.1,0.92073511161523,76
